Reference, Quantity, Value, Footprint, Datasheet, LCSC
C1 C11 C13 ,3,"100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C49678"
C12 ,1,"100uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","C178703"
C3 C4 ,2,"1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C215803"
C8 ,1,"100uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","C47859"
D1 ,1,"D_Small","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
D6 ,1,"1N5817","Diode_SMD:D_SOD-123","http://www.vishay.com/docs/88525/1n5817.pdf","C727113"
H1 H2 H3 ,3,"MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
J1 J2 J4 J6 ,4,"Screw_Terminal_01x03","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal","~","C72334"
J3 ,1,"PWR_IN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~","C8404"
J5 ,1,"Conn_Left","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
J7 ,1,"ProgrammingHeader","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
JP1 ,1,"CON","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","C234182"
L3 ,1,"L_Small","Inductor_SMD:L_6.3x6.3_H3","~","C206230"
R1 ,1,"10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C25612"
R2 R3 R5 R7 R9 R10 R11 R12 R13 ,9,"10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C25612"
R4 ,1,"120R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C966144"
R8 ,1,"200R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
SW1 SW2 SW3 ,3,"SW_SPST","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","~"
TP1 TP2 ,2,"TP_5V","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
U2 ,1,"MAX485E","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX1487E-MAX491E.pdf","C19738"
U3 ,1,"H7233-1","Package_TO_SOT_SMD:SOT-89-3_Handsoldering","","C277849"
U4 ,1,"LM2594HVM-5.0","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm2594.pdf","C179674"
U8 ,1,"ESP-12E","RF_Module:ESP-12E","http://wiki.ai-thinker.com/_media/esp8266/esp8266_series_modules_user_manual_v1.1.pdf","C89297"
