Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF/6.3V,C_1206_3216Metric,65.8495,-29.21,-90.0,top
C2,10uF/25V,C_0805_2012Metric,54.9885,-43.459,180.0,top
C3,10uF/25V,C_0805_2012Metric,58.4785,-35.519,-90.0,top
C4,22uF/25V,C_0805_2012Metric,60.7645,-35.519,-90.0,top
C5,1uF/10V,C_0805_2012Metric,68.2625,-29.144,-90.0,top
C6,100nF/16V,C_0805_2012Metric,70.6755,-29.083,-90.0,top
C8,100uF,CP_Radial_D6.3mm_P2.50mm,26.162,-32.7025,90.0,top
C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,30.988,-31.4325,-90.0,top
C12,100uF,CP_Radial_D8.0mm_P3.50mm,42.799,-30.099,0.0,top
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,39.116,-36.3855,0.0,top
D1,D_Small,D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,45.339,-40.8305,0.0,top
D6,1N5817,D_SOD-123,34.29,-36.3855,0.0,top
J1,Screw_Terminal_01x03,TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal,43.1165,-59.055,0.0,top
J2,Screw_Terminal_01x03,TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal,58.3565,-59.055,0.0,top
J3,PWR_IN,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",24.257,-38.5445,-90.0,top
J4,Screw_Terminal_01x03,TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal,73.5965,-59.055,0.0,top
J5,Conn_Left,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,114.7318,-49.5427,90.0,top
J6,Screw_Terminal_01x03,TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal,88.8365,-59.055,0.0,top
J7,ProgrammingHeader,PinSocket_1x06_P2.54mm_Vertical,99.7585,-27.432,90.0,top
JP1,CON,PinHeader_1x02_P2.54mm_Vertical,106.3879,-44.45,0.0,top
L3,L_Small,L_6.3x6.3_H3,35.56,-41.4655,0.0,top
R1,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.6734,-36.5887,0.0,top
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,72.136,-51.435,0.0,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,68.5165,-34.417,0.0,top
R4,120R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,109.7915,-43.434,90.0,top
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,95.631,-31.1785,-90.0,top
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,94.615,-47.498,0.0,top
R8,200R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,45.2755,-44.958,180.0,top
R9,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,116.7003,-34.3916,-90.0,top
SW1,SW_SPST,SW_Push_SPST_NO_Alps_SKRK,67.4325,-37.6555,180.0,top
SW2,SW_SPST,SW_Push_SPST_NO_Alps_SKRK,97.7265,-34.9885,0.0,top
SW3,SW_SPST,SW_Push_SPST_NO_Alps_SKRK,114.6287,-38.4676,180.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,53.6575,-37.744,90.0,top
U2,MAX485E,SOIC-8_3.9x4.9mm_P1.27mm,100.7872,-41.91,-90.0,top
U3,ESP32-WROOM-32,ESP32-WROOM-32,81.9785,-35.052,0.0,top
U4,LM2594HVM-5.0,SOIC-8_3.9x4.9mm_P1.27mm,36.322,-32.0675,180.0,top
U5,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,67.691,-49.53,0.0,top
U6,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,91.059,-49.022,90.0,top
