Comment,Designator,Footprint,LCSC
Programming_Header,J1,IDC-Header_2x03_P2.54mm_Vertical,C11214
ATmega328P-AU,U3,TQFP-32_7x7mm_P0.8mm,C14877
Crystal_Small,Y1,Crystal_HC49-U_Vertical,C16212
120uF,C12,CP_Radial_D8.0mm_P3.50mm,C178703
LM2594HVM-5.0,U4,SOIC-8_3.9x4.9mm_P1.27mm,C179674
MAX485E,U2,SOIC-8_3.9x4.9mm_P1.27mm,C19738
L_Small,L3,L_6.3x6.3_H3,C206230
TERM_R,"JP2,JP3,JP4,JP5",PinHeader_1x02_P2.54mm_Vertical,C234182
22pF,"C3,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C24658
10R,R2,R_0805_2012Metric,C25278
10K,"R1,R3,R4,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25612
100uF,C8,CP_Radial_D6.3mm_P2.50mm,C47859
100nF,"C1,C11,C13,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
100nF,C2,C_0805_2012Metric,C519929
SW_DIP_x04,SW2,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile,C54950
1uF,C9,CP_Radial_D5.0mm_P2.00mm,C62934
10uF,"C6,C7",CP_Radial_D4.0mm_P1.50mm,C694328
1N5817,D6,D_SOD-123,C727113
1nF,C10,C_0603_1608Metric,C77026
MCP1416,U1,SOT-23-5,C83775
PWR_OUT,"J2,J3,J4","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",C8404
120R,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C966144
SW_SPST,SW1,SW_Push_SPST_NO_Alps_SKRK,
Conn_Right,J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
Conn_Left,J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
R_LED,R9,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
+5V,D2,D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
WORKING,D3,D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R_LED,R7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
R_LED,R8,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
RS485_ERROR,D4,D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
Jump_Gate_Driver,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
IRLZ44N,Q1,TO-220-3_Vertical,
