Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,75.8975,-37.97,180.0,top
C2,100nF,C_0805_2012Metric,89.027,-43.18,180.0,top
C3,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,79.0155,-33.782,0.0,top
C4,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,62.7165,-33.782,0.0,top
C5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,74.35,-53.5,0.0,top
C6,10uF,CP_Radial_D4.0mm_P1.50mm,81.026,-38.1508,0.0,top
C7,10uF,CP_Radial_D4.0mm_P1.50mm,69.85,-52.9,-90.0,top
C8,100uF,CP_Radial_D6.3mm_P2.50mm,34.9885,-31.3055,0.0,top
C9,1uF,CP_Radial_D5.0mm_P2.00mm,89.154,-40.227,90.0,top
C10,1nF,C_0603_1608Metric,97.282,-44.45,-90.0,top
C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,32.4104,-35.56,180.0,top
C12,120uF,CP_Radial_D8.0mm_P3.50mm,28.4988,-48.8696,-90.0,top
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,28.448,-44.3269,-90.0,top
D2,+5V,D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,57.1,-38.3,0.0,top
D3,WORKING,D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,57.1,-41.69,0.0,top
D4,RS485_ERROR,D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,40.0304,-40.4511,90.0,top
D6,1N5817,D_SOD-123,28.4988,-38.3276,-90.0,top
J1,Programming_Header,IDC-Header_2x03_P2.54mm_Vertical,45.669,-56.9875,-90.0,top
J2,PWR_OUT,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",25.28,-24.18,-90.0,top
J3,PWR_IN,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",114.8,-29.33,90.0,top
J4,LED_OUT,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",114.808,-43.815,90.0,top
J5,Conn_Left,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,116.01,-60.55,90.0,top
J6,Conn_Right,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,24.081,-58.0,-90.0,top
JP2,TERM_R,PinHeader_1x02_P2.54mm_Vertical,50.866,-38.93,0.0,top
JP3,CON,PinHeader_1x02_P2.54mm_Vertical,91.9,-61.65,90.0,top
JP4,CON,PinHeader_1x02_P2.54mm_Vertical,88.011,-49.911,0.0,top
JP5,CON,PinHeader_1x02_P2.54mm_Vertical,91.821,-52.451,180.0,top
L3,L_Small,L_6.3x6.3_H3,23.5966,-41.3639,-90.0,top
Q1,IRLZ44N,TO-220-3_Vertical,97.282,-37.592,0.0,top
R1,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,76.581,-58.674,180.0,top
R2,10R,R_0805_2012Metric,97.282,-41.092,90.0,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.01,-52.371,90.0,top
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,81.772,-55.372,0.0,top
R5,120R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,91.94,-58.71,0.0,top
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,81.772,-52.197,0.0,top
R7,R_LED,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,63.045,-38.3,0.0,top
R8,R_LED,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,63.045,-41.7,0.0,top
R9,R_LED,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,43.2308,-40.5136,-90.0,top
SW1,SW_SPST,SW_Push_SPST_NO_Alps_SKRK,99.96,-52.271,-90.0,top
SW2,SW_DIP_x04,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile,59.69,-57.404,0.0,top
U1,MCP1416,SOT-23-5,93.091,-42.997,0.0,top
U2,MAX485E,SOIC-8_3.9x4.9mm_P1.27mm,84.755,-59.365,0.0,top
U3,ATmega328P-AU,TQFP-32_7x7mm_P0.8mm,75.32,-45.58,-90.0,top
U4,LM2594HVM-5.0,SOIC-8_3.9x4.9mm_P1.27mm,32.6644,-40.894,90.0,top
Y1,Crystal_Small,Crystal_HC49-U_Vertical,73.279,-33.782,180.0,top
